ARTICULO;REGISTRO SANITARIO;CUM;ATC
FOSF003;2015M-0003562-R1;19943837-05;J01XX01
FURO001;2010M-0010753;20011388-13;C03CA01
FURO002;2019M-004573-R4;42216-13;C03CA01
GABA001;2018M-0000551-R2;19915484-01;N03AX12
GANC007;2013M-0014649;20059263-1;J05AB06
GEMF001;2015M-000186-R2;1981505-13;C10AB04
GENT001;2018M-0001654-R2;19929683-1;S01AA11
GENT002;2007M-006661-R1;208159-10;J01GB03
GENT003;2021M-0006856-R1;19967898-1;S01AA11
GLIB001;2014M-0015309;20069305-01;B05XA14
GLUC005;RSiA16/187115;N/A;N/A
GLUC006;RSA-03378-2017;N/A;N/A
HALO003;2019M-0009920-R1;19998377-1;N05AD01
HALO007;2007M-0007220;19974149-2;N05AD01
HEPA001;2018M-0006668;19970942-01;B01AB01
HEPA004;2017M-0006074-R1;19960641-1;B01AB05
hidr001;2014M-0003252-R1;19941085-02;S01XA20
hidr002;2015M-0016560;20087738-02;N02AA59
HIDR003;2010M-0010425;000040194-02;D07AA02
HIDR007;2021M-14400-R3;19907962-01;N05BB01
HIDR012;2018M-0002684-R2;19936820-1;P01BA02
HIDR013;2019M-0010014-R1;20008612-1;N02AA03
HIDR016;2022M-0008529-R1;19941085-02;S01XA20
HIER001;2018M-0018529;20120320-6;B03AC02
HIOS001;2015M-0004065-R1;19949535-7;A03BB01
HIOS002;2019M-0009391-R1;19997616-5;A03BB01
IBUP001;2020M-014958-R3;51330-17;M01AE01
inmu001;2019M-0013104-R1;20024147-1;J06BA02
INMU002;2018M-0006177-R1;19963035-01;J06BA02
INMU003;2019M-0007431-R1;19975089-1;J06BB01
INSU001;2018M-0012046-R1;20013207-1;A10AB01
INSU002;2019M-0013216-R1;20021159-1;A10AB01
INSU004;2016M-0000394-R2;19914262-04;A10AE04
INSU005;2020MBT-010101-R2;224030-02;A10AB04
IOBI001;2008M-010665-R1;#N/D;#N/D
IPRA002;2021M-0015094-R1;20066836-1;R03BB01
IPRA003;2021M-000227-R3;1980804-2;R03BB01
IPRA005;2020M-003240-R3;000054889-1;R03AL01
ISOS001;2021M-0004575-R2;19951877-1;C01DA08
ISOS002;2017M-003290-R4;37246-1;C01DA08
ITRA001;2019M-0019062;20122550-1;J02AC02
IVER001;2015M-0004581-R1;19951421-5;P02CF01
KETA001;2015M-0016428;20083397-4;N01AX03
KETO003;2021M-001675-R3;53287-1;M01AB15
KETO005;2017M-0000377-R2;19918847-1;J02AB02
KETO006;2021-002347-R3;1982997-1;M01AE03
LABE001;2019M-0009954-R1;20004699-1;C07AG01
LACO001;2019M-0019243;20137718-1;N03AX18
LACT001;2020M-002282-R4;32606-2;B05XA30
LACT002;2021M-0016378-R1;20087761-2;A06AD11
LACT005;2021M-0016378-R1;20087761-1;A06AD11
LAMI006;2014M-0015011;20063923-1;J05AR01
LAMO001;2009M-0009334;20001515-1;N03AX09
LEFL001;2017M-0006032-R1;19963298-2;L04AA13
LEVE001;2010M-0011585;20018997-2;N03AX14
LEVE002;2021M-0009725-R1;19999765-1;N03AX14
LEVO003;2007M-0007588;19977387-2;N05AA02
LEVO004;2018M-0001639-R2;19929840-1;C01CX08
LEVO005;2017M-0005365-R1;19960116-10;H03AA01
LEVO006;2014M-0003778-R1;19943590-1;N05AA02
LEVO009;2017M-004290-R2;47458-13;N04BA02
LEVO010;2020M-0010148-R1;20008193-4;J01MA12
LEVO011;2020M-0008477-R1;19989785-6;G03AC03
LIDO001;2016M-001801-R2;000050709-2;N01BB02
LIDO002;2014M-014270-R2;39002-3;N01BB02
LIDO005;2008 M-010298 R1;000043735-3;N01BB02
LIDO006;2019M-0006568-R1;19966576-1;N01BB02
LIDO012;2009M-010169-R2;218168-5;N01BB52
LIDO017;2009M-010169-R2;218168-4;N01BB52
LINE001;2013M-0014465;20057153-2;J01XX08
LOPE001;2009M-010882-R2;34537-2;A07DA03
LOPI002;2017M-0006028-R1;19967068-1;J05AR10
LOPI003;2016M-014876-R2;19911481-1;J05AR10
LORA001;2020M-014625-R3;39641-1;R06AX13
LORA002;2021M-013247-R2;19902391-3;N05BA06
LORA003;2017M-0000323-R2;19914657-5;N05BA06
LORA004;2021M-001206-R3;000054559-1;R06AX13
LOSA001;2018M-0018181;20123645-4;C09CA01
LOSA003;2021M-0020239;20190175-1;C09CA01
LOVA001;2018M-012909-R3;40518-6;C10AA02
MAGN001;N/A;N/A;N/A
MAGN002;2013M-0002365-R1;19935299-1;B05XA05
MANI001;2009M-000921-R3;29514-2;B05CX03
MELO003;2010M-14170-R1;19906320-1;M01AC06
MEMA001;2008M-0008245;19988137-11;N06DX01
MEPE001;2019M-0010016-R1;20008613-1;N02AB02
MERO001;2018M-0018102;20113369-2;J01DH02
MESA001;2019M-0002898-R2;19940343-02;A07EC02
MESA002;2020M-0009177-R1;19998498-5;A07EC02
MESA004;2007M-0007463;19978379-1;A07EC02
MESN001;2021M-009635-R3;24063-1;V03AF01
META001;2019M-0019006;20134504-1;N07BC02
META002;2019M-0019007;20134508-1;N07BC02
METF001;2009M-13957-R1;19905554-13;A10BA02
METI001;2020M-0009196-R1;19990590-11;H02AB04
METI002;2017M-0011946-R1;20025656-6;H03BB02
METI006;2017M-003421-R4;37193-2;G02AB01
METI007;2008M-010073 R1;40314-1;S01XA20
METO001;2015M-0004448-R1;019948280-4;M03BA03
METO002;2020M-0002998-R2;19941418-4;A03FA01
METO003;2021M-0020010;20162259-4;A03FA01
METO004;2019M-0019459;20149724-1;C07AB02
METO005;2007M-0007318;19976470-3;C07AB02
METO009;2018M-0002256-R2;19933831-1;A03FA01
METO011;2013M-0001140-R1;19927154-7;L01BA01
METO021;2013M-0014618;20056846-1;C07AB02
METO023;2017M-006135-R2;200541-11;C07AB02
METR001;2018M-0002738-R2;19938260-2;J01XD01
METR002;2021M-007158-R3;23439-4;J01XD01
METR007;2020M-14231-R2;19906811-5;J01XD01
METR008;2021M-0020362;20195414-1;J01XD01
METR009;2022M-003380-R3;1983837-2;J01XD01
METR010;2020M-0007589-R1;19980113-1;J01XD01
MICO002;2013M-0014755;20053538-1;L04AA06
MIDA001;2020M-0014713-R1;20057389-2;N05CD08
